Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
218.736,9913,218,736000000,world,9.816000000006316,-9.805999999997995,4.293000000034946,1.2090403152290642e-12,3.4880959069503245e-10,-8.596686634165159e-13,1.0
218.752,9914,218,744000000,world,9.816000000006461,-9.805999999998098,4.293000000030401,-3.9017026238816996e-13,3.5557861317837847e-10,-1.0587726015292764e-12,1.0
218.76,9915,218,760000000,world,9.816000000006676,-9.805999999998269,4.2930000000231585,-3.2478531530422773e-12,3.6581497050987714e-10,-1.3718917467211656e-12,1.0
218.776,9916,218,776000000,world,9.816000000006825,-9.805999999998397,4.29300000001809,-5.424010900858093e-12,3.726675494734591e-10,-1.584917465812564e-12,1.0
218.808,9917,218,792000000,world,9.81600000000695,-9.805999999998502,4.2930000000134205,-7.524260970117008e-12,3.7880656428811876e-10,-1.7661634237894827e-12,1.0
218.816,9918,218,816000000,world,9.816000000007003,-9.805999999998551,4.293000000011591,-8.371944212287022e-12,3.8117150721787323e-10,-1.8513727192000527e-12,1.0
218.832,9919,218,824000000,world,9.816000000007042,-9.805999999998587,4.293000000010401,-8.929901860010104e-12,3.8269870106929817e-10,-1.913580635444834e-12,1.0
218.848,9920,218,840000000,world,9.816000000007056,-9.805999999998601,4.293000000009974,-9.130905176656255e-12,3.8324433791387646e-10,-1.9373226341238534e-12,1.0
218.864,9921,218,856000000,world,9.81600000000709,-9.805999999998633,4.293000000009135,-9.527768801474346e-12,3.843132418871732e-10,-1.9947476564636883e-12,1.0
218.88,9922,218,872000000,world,9.8160000000071,-9.805999999998642,4.293000000008958,-9.611926259569903e-12,3.8453814419899604e-10,-2.0113401366030114e-12,1.0
218.896,9923,218,888000000,world,9.816000000007117,-9.805999999998656,4.2930000000087025,-9.73336392484507e-12,3.848625606823108e-10,-2.039457961030862e-12,1.0
218.912,9924,218,904000000,world,9.816000000007135,-9.805999999998674,4.29300000000848,-9.838347382416624e-12,3.851445891773766e-10,-2.074399195150514e-12,1.0
218.928,9925,218,920000000,world,9.816000000007143,-9.80599999999868,4.293000000008433,-9.860556373616978e-12,3.8520379143759053e-10,-2.087860008517717e-12,1.0
218.944,9926,218,936000000,world,9.816000000007165,-9.805999999998706,4.293000000008341,-9.907559468324716e-12,3.8531841298170427e-10,-2.1312503335611057e-12,1.0
218.96,9927,218,952000000,world,9.816000000007174,-9.805999999998713,4.293000000008306,-9.924239032371202e-12,3.8536215290380256e-10,-2.142815399845169e-12,1.0
218.976,9928,218,968000000,world,9.816000000007175,-9.805999999998715,4.293000000008294,-9.929785724823143e-12,3.853777651646509e-10,-2.144274008657055e-12,1.0
218.992,9929,218,984000000,world,9.816000000007175,-9.805999999998715,4.29300000000827,-9.94069390898683e-12,3.854081936560323e-10,-2.1427090398977713e-12,1.0
219.008,9930,219,0,world,9.816000000007174,-9.805999999998713,4.293000000008265,-9.943083385141968e-12,3.8541454023901025e-10,-2.140780460353297e-12,1.0
219.04,9931,219,16000000,world,9.816000000007172,-9.805999999998711,4.293000000008261,-9.944986652699912e-12,3.85419648666353e-10,-2.1375718934755495e-12,1.0
219.096,9932,219,56000000,world,9.816000000007152,-9.805999999998694,4.29300000000825,-9.950083427911786e-12,3.8543461533246127e-10,-2.0983929522799687e-12,1.0
219.104,9933,219,96000000,world,9.816000000007127,-9.80599999999867,4.2930000000082496,-9.949591390844985e-12,3.854383516994353e-10,-2.052731513181497e-12,1.0
219.128,9934,219,120000000,world,9.81600000000712,-9.805999999998663,4.2930000000082496,-9.949411426752019e-12,3.8543911921077444e-10,-2.0394730454848743e-12,1.0
219.136,9935,219,128000000,world,9.816000000007119,-9.805999999998663,4.2930000000082496,-9.94967920921015e-12,3.8543937618483275e-10,-2.037724935249776e-12,1.0
219.16,9936,219,152000000,world,9.81600000000712,-9.805999999998665,4.2930000000082496,-9.949611445288524e-12,3.8543970125637084e-10,-2.0404888098729394e-12,1.0
219.168,9937,219,160000000,world,9.816000000007122,-9.805999999998667,4.2930000000082496,-9.949696469352266e-12,3.85439733914912e-10,-2.043730892147841e-12,1.0
219.192,9938,219,176000000,world,9.816000000007126,-9.80599999999867,4.2930000000082496,-9.950029190432224e-12,3.8543973273166125e-10,-2.0529217299968497e-12,1.0
219.216,9939,219,192000000,world,9.81600000000713,-9.805999999998674,4.2930000000082496,-9.95021634140507e-12,3.8543972795808517e-10,-2.058217517386886e-12,1.0
219.224,9940,219,216000000,world,9.816000000007143,-9.805999999998686,4.2930000000082496,-9.95087175380418e-12,3.8543971781385957e-10,-2.0812481627935227e-12,1.0
219.24,9941,219,240000000,world,9.816000000007147,-9.80599999999869,4.2930000000082496,-9.951102012572943e-12,3.854397058441406e-10,-2.0912723264671797e-12,1.0
219.272,9942,219,256000000,world,9.81600000000715,-9.805999999998694,4.2930000000082496,-9.951260187134967e-12,3.8543968506233303e-10,-2.0992743053462075e-12,1.0
219.272,9943,219,272000000,world,9.816000000007154,-9.805999999998697,4.2930000000082496,-9.951360466714064e-12,3.854396673408063e-10,-2.1052997476328173e-12,1.0
219.352,9944,219,288000000,world,9.816000000007158,-9.805999999998699,4.2930000000082496,-9.951427336306935e-12,3.854396575640759e-10,-2.109370652089644e-12,1.0
219.352,9945,219,304000000,world,9.816000000007158,-9.805999999998699,4.2930000000082496,-9.951669722419593e-12,3.854395753023011e-10,-2.111506344755482e-12,1.0
